rank,project,prior_score,prior_confidence,recalculated_score,recalculated_confidence,ownership_evidence_status,capital_evidence_status,additional_evidence_ids,additional_evidence_urls,accepted_change,remaining_limiter,upper_estimate
1,Bitcoin,65,Medium,65,Medium,Unknown,Unknown,CRYPTO-RANK-API|CRYPTO-RANK-UNLOCKS,https://api.cryptorank.io/v2/documentation/|https://cryptorank.io/token-unlock,Added market/supply discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
2,Ethereum,60,Low,60,Low,Unknown,Unknown,CRYPTO-RANK-API|TOKENOMIST-OVERVIEW|TOKENOMIST-API,https://api.cryptorank.io/v2/documentation/|https://docs.tokenomist.ai/overview|https://docs.tokenomist.ai/api-documents/introduction,Added market/allocation discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
3,BNB,55,Low,55,Low,Unknown,Unknown,BNB-SEC-S1A3|CRYPTO-RANK-UNLOCKS|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/2106762/000119312526254665/bnb_s-1_amendment_3.htm|https://cryptorank.io/token-unlock|https://defillama.com/raises?chain=None,Added SEC allocation and specialist funding-discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
4,XRP,65,Medium,65,Medium,Unknown,Unknown,XRP-GRAYSCALE-10K|XRP-SEC-8K-2024|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/2037427/000119312526104419/424b3_gxrp_10-k_12312025.htm|https://www.sec.gov/Archives/edgar/data/1729997/000095017024002470/gdlc-20240104.htm|https://defillama.com/raises?chain=None,Added SEC founder/holding context and funding discovery; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
5,Solana,65,Medium,65,Medium,Unknown,Accepted,CRYPTO-RANK-UNLOCKS|TOKENOMIST-OVERVIEW|DEFILLAMA-RAISES,https://cryptorank.io/token-unlock|https://docs.tokenomist.ai/overview|https://defillama.com/raises?chain=None,Added allocation/funding discovery sources; accepted capital gate unchanged,Complete founder/affiliate holdings register; other outside capital remains unresolved,true
6,Coinbase,98,High,98,High,Accepted,Accepted,CRYPTO-RANK-API|DEFILLAMA-RAISES,https://api.cryptorank.io/v2/documentation/|https://defillama.com/raises?chain=None,Added specialist funding-discovery sources; existing high gates unchanged,None beyond existing high-confidence gates; refresh later filings for current snapshot,false
7,TRON,60,Low,60,Low,Unknown,Unknown,CRYPTO-RANK-UNLOCKS|DEFILLAMA-RAISES,https://cryptorank.io/token-unlock|https://defillama.com/raises?chain=None,Added supply and funding discovery sources; no gate closed,Complete founder/affiliate holdings register and reconciled outside-capital ledger,true
8,Circle,98,High,98,High,Accepted,Accepted,CRYPTO-RANK-API|DEFILLAMA-RAISES,https://api.cryptorank.io/v2/documentation/|https://defillama.com/raises?chain=None,Added specialist funding-discovery sources; existing high gates unchanged,None beyond existing high-confidence gates; refresh later filings for current snapshot,false
9,Hyperliquid,60,Low,60,Low,Unknown,Unknown,HYPE-SEC-S1A4|HYPE-SEC-S1A1|TOKENOMIST-OVERVIEW|DEFILLAMA-RAISES,https://www.sec.gov/Archives/edgar/data/2107730/000119312526243167/hype_s-1_amendment_4.htm|https://www.sec.gov/Archives/edgar/data/2107730/000119312526163263/hype_s-1_amendment_1.htm|https://docs.tokenomist.ai/overview|https://defillama.com/raises?chain=None,Added SEC allocation and funding evidence; no gate closed,SEC explicitly reports no comprehensive holder registry; complete founder register and capital ledger,true
10,Dogecoin,65,Medium,65,Medium,Unknown,Unknown,DOGE-TRANSPARENCY|CRYPTO-RANK-API,https://blockworks.com/token-transparency/filing/dogecoin|https://api.cryptorank.io/v2/documentation/,Added transparency and market-discovery evidence; no gate closed,Complete creator address attestation and capital evidence,true
