rank,entry_id,workbook_project,score_before,score_after,confidence_before,confidence_after,upper_estimate_before,upper_estimate_after,high_eligible,evidence_effect,remaining_blocker
1,bitcoin,P_BTC,65,65,Medium,Medium,true,true,false,Fair-launch and genesis context strengthened,Satoshi holdings uncertainty is not yet bounded to a reviewed rank-invariant range
2,ethereum,P_ETH,60,60,Low,Low,true,true,false,Founder identity and 2014 sale terms strengthened,Founder and Foundation holdings plus capital uncertainty lack reviewed rank-invariant bounds
3,bnb,P_BNB,55,55,Low,Low,true,true,false,Historical allocation and ICO context strengthened,Current beneficial ownership and migration or bridge uncertainty lack reviewed rank-invariant bounds
4,xrp,P_XRP,65,65,Medium,Medium,true,true,false,Corporate XRP and financing subclaims strengthened,Founder holdings and multi-project capital uncertainty lack reviewed rank-invariant bounds
5,solana,P_SOL,65,65,Medium,Medium,true,true,false,Historical allocations and financing subclaims strengthened,Wallet attribution and financing deduplication lack reviewed rank-invariant bounds
6,coinbase,,95,95,High,High,false,false,true,Not covered by workbook,Existing accepted inputs require normal snapshot refresh only
7,tron,P_TRX,60,60,Low,Low,true,true,false,Founder identity and initial distribution context strengthened,Current wallets and conflicting genesis or capital evidence remain disputed
8,circle,P_USDC,91,91,Medium,Medium,true,true,false,Share ownership circulation and financing subclaims strengthened,Corporate capital allocation uncertainty lacks reviewed rank-invariant bounds
9,hyperliquid,P_HYPE,60,60,Low,Low,true,true,false,Scoped no-investor evidence narrows the capital review,Core-contributor and Foundation holdings lack reviewed rank-invariant bounds
10,dogecoin,P_DOGE,65,65,Medium,Medium,true,true,false,Creator launch and Foundation-wallet context strengthened,Current founder holdings lack reviewed rank-invariant bounds
