snapshot_date,project_id,owner_entity,chain,address_or_entity,evidence_type,attribution_status,confidence,include_in_founder_deduction,snapshot_holdings_usd,source_id,source_url,notes
2026-07-30,bitcoin,Satoshi Nakamoto cluster,Bitcoin,"~22,000-address entity cluster",Entity cluster,Arkham attributed cluster,Medium-high,Needs review,,ARK-SATOSHI,https://arkm.com/explorer/entity/satoshi-nakamoto,Do not replace this with a single address. Reprice attributed BTC using the same snapshot price as market cap.
2026-07-30,ethereum,Vitalik Buterin,Ethereum,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,Personal wallet / ENS,vitalik.eth; explorer-labeled,High,Yes,,ETH-VITALIK-1,https://etherscan.io/address/0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,Count only ETH and eligible assets acquired as founder wealth; ignore spam/airdropped tokens.
2026-07-30,ethereum,Vitalik Buterin,Ethereum,0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B,Historical personal wallet,Widely labeled historical wallet,High,Needs review,,ETH-VITALIK-2,https://etherscan.io/address/0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B,Historical address; avoid double counting transfers between known wallets.
2026-07-30,bnb,Changpeng Zhao (CZ),BNB Smart Chain,0x28816c4C4792467390C90e5B426F198570E29307,Public donation/memecoin wallet,Publicly disclosed for this purpose,High for this wallet only,Needs review,,CZ-WALLET,https://bscscan.com/address/0x28816c4c4792467390c90e5b426f198570e29307,This is not evidence of CZ's total BNB holdings.
2026-07-30,xrp,Chris Larsen,XRP Ledger,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,Personal wallet,Explorer activity plus reporting,Medium-high,Yes,,XRP-LARSEN,https://xrpscan.com/account/rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,Reconcile transfers and any additional Larsen-controlled accounts.
2026-07-30,solana,Anatoly Yakovenko,Solana,9QgXqrgdbVU8KcpfskqJpAXKzbaYQJecgMAruSWoXDkM,Candidate personal wallet,Rumored; not confirmed by Arkham,Low,No until confirmed,,ARK-ANATOLY,https://solscan.io/account/9QgXqrgdbVU8KcpfskqJpAXKzbaYQJecgMAruSWoXDkM,Do not publish as confirmed.
2026-07-30,solana,Anatoly Yakovenko,Solana,9E8zGfWoWpcL1YawhWsa4ZCaCxRVL7zM1YovdNP69oBA,Candidate stake account,Related in researcher cluster,Low,No until confirmed,,ARK-ANATOLY,https://solscan.io/account/9E8zGfWoWpcL1YawhWsa4ZCaCxRVL7zM1YovdNP69oBA,Related candidate stake account.
2026-07-30,solana,Anatoly Yakovenko,Solana,JQ5jCCtie5ds5FWoajkM7xAEh6AHTmhj8EpT3uXaUtV,Candidate stake account,Related in researcher cluster,Low,No until confirmed,,ARK-ANATOLY,https://solscan.io/account/JQ5jCCtie5ds5FWoajkM7xAEh6AHTmhj8EpT3uXaUtV,Related candidate stake account.
2026-07-30,solana,Anatoly Yakovenko,Solana,A6mJnMNmrfFarL5weFLDgo3t89J12s4DxSVvDqbfGvgk,Candidate stake account,Related in researcher cluster,Low,No until confirmed,,ARK-ANATOLY,https://solscan.io/account/A6mJnMNmrfFarL5weFLDgo3t89J12s4DxSVvDqbfGvgk,Related candidate stake account.
2026-07-30,solana,Anatoly Yakovenko,Solana,7pgzZHqtRtmF3gvoHS61QTBWErBUugwk1vj4fZZ4EPSS,Candidate stake account,Related in researcher cluster,Low,No until confirmed,,ARK-ANATOLY,https://solscan.io/account/7pgzZHqtRtmF3gvoHS61QTBWErBUugwk1vj4fZZ4EPSS,Related candidate stake account.
2026-07-30,coinbase,Brian Armstrong,Ethereum,0x5b76f5b8fc9d700624f78208132f91ad4e61a1f0,Public ENS-linked wallet,barmstrong.eth profile/explorer,Medium-high,No for COIN equity score,,COIN-BRIAN-WALLET,https://etherscan.io/address/0x5b76f5b8fc9d700624f78208132f91ad4e61a1f0,Supplementary only. Coinbase founder exclusion is SEC-disclosed COIN ownership.
2026-07-30,tron,Justin Sun,Ethereum,0x3DdfA8eC3052539b6C9549F12cEA2C295cfF5296,Entity-linked wallet,Explorer/researcher attribution,Medium-high,Needs review,,ARK-JUSTIN,https://etherscan.io/address/0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,Multi-chain entity; count only eligible TRX in TRON score.
2026-07-30,uniswap,Hayden Adams,Ethereum,0x11E4857Bb9993a50c685A79AFad4E6F65D518DDa,Self-disclosed wallet,Hayden Adams public disclosure,High historically,Yes,,UNI-HAYDEN,https://etherscan.io/address/0x11E4857Bb9993a50c685A79AFad4E6F65D518DDa,Currentness should be reconfirmed; avoid counting protocol treasury.
2026-07-30,aave,Stani Kulechov,Ethereum,0x2e21f5d32841cf8c7da805185a041400bf15f21a,Founder-linked wallet,Explorer/researcher linked,Medium,Needs review,,AAVE-STANI,https://etherscan.io/address/0x2e21f5d32841cf8c7da805185a041400bf15f21a,Check ownership/currentness before including.
2026-07-30,aave,Stani Kulechov,Ethereum,0x47ca539b3f546078d97bd851130741c6bf370100,Founder-linked Safe,Researcher linked,Medium,Needs review,,AAVE-STANI-SAFE,https://etherscan.io/address/0x47ca539b3f546078d97bd851130741c6bf370100,Check Safe owners and avoid double counting transfers.
2026-07-30,hyperliquid,Jeff Yan / Hyperliquid founding team,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,dogecoin,Billy Markus; Jackson Palmer,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,cardano,Charles Hoskinson; Jeremy Wood,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,chainlink,Sergey Nazarov; Steve Ellis,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,stellar,Jed McCaleb; Joyce Kim,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,canton,Digital Asset / Canton founding contributors,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,litecoin,Charlie Lee,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,hedera,Leemon Baird; Mance Harmon,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,sui,Mysten Labs founders,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,avalanche,Ava Labs founders,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,near,Illia Polosukhin; Alexander Skidanov,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,ondo,Nathan Allman; Pinku Surana,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,bittensor,Ala Shaabana; Jacob Steeves,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,sky,Rune Christensen,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,morpho,Morpho founders,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,polkadot,Gavin Wood; Robert Habermeier; Peter Czaban,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
2026-07-30,internet-computer,Dominic Williams / DFINITY founding team,,,No public wallet accepted yet,Not identified,Unknown,No,,,,Unknown is not zero. Research before publication.
